GLNo,COBDate,FindPR,Sum of Princ Rec,Find,,,,,
GL041501/15,31032022,GL041501/1531032022,,#N/A,,,,,
GL041501/15,31032022,GL041501/15310320220,0,GL041501/15310320220,,,,,
GL046568/16,31032022,GL046568/1631032022,,#N/A,,,,,
GL046568/16,31032022,GL046568/16310320220,0,GL046568/16310320220,,,,,
GL047854/16,31032022,GL047854/1631032022,,#N/A,,,,,
GL047854/16,31032022,GL047854/16310320220,0,GL047854/16310320220,,,,,
GL048130/16,31032022,GL048130/1631032022,,#N/A,,,,,
GL048130/16,31032022,GL048130/16310320220,0,GL048130/16310320220,,,,,
GL049664/16,31032022,GL049664/1631032022,,#N/A,,,,,
GL049664/16,31032022,GL049664/16310320220,0,GL049664/16310320220,,,,,
GL050070/16,31032022,GL050070/1631032022,,#N/A,,,,,
GL050070/16,31032022,GL050070/16310320220,0,GL050070/16310320220,,,,,
GL050980/16,31032021,GL050980/16310320210,0,GL050980/16310320210,,,,,
GL050980/16,31032022,GL050980/1631032022,,#N/A,,,,,
GL050980/16,31032022,GL050980/16310320220,0,GL050980/16310320220,,,,,
GL051016/16,31032021,GL051016/16310320210,0,GL051016/16310320210,,,,,
GL051016/16,31032022,GL051016/1631032022,,#N/A,,,,,
GL051016/16,31032022,GL051016/16310320220,0,GL051016/16310320220,,,,,
GL051524/16,31032021,GL051524/16310320210,0,GL051524/16310320210,,,,,
GL051946/16,31032021,GL051946/16310320210,0,GL051946/16310320210,,,,,
GL051946/16,31032022,GL051946/1631032022,,#N/A,,,,,
GL051946/16,31032022,GL051946/16310320220,0,GL051946/16310320220,,,,,
GL052103/16,31032021,GL052103/16310320210,0,GL052103/16310320210,,,,,
GL052103/16,31032022,GL052103/1631032022,,#N/A,,,,,
GL052103/16,31032022,GL052103/16310320220,0,GL052103/16310320220,,,,,
GL052167/17,31032021,GL052167/17310320210,0,GL052167/17310320210,,,,,
GL052167/17,31032022,GL052167/1731032022,,#N/A,,,,,
GL052167/17,31032022,GL052167/17310320220,0,GL052167/17310320220,,,,,
GL052230/17,31032021,GL052230/17310320210,0,GL052230/17310320210,,,,,
GL052230/17,31032022,GL052230/1731032022,,#N/A,,,,,
GL052230/17,31032022,GL052230/17310320220,0,GL052230/17310320220,,,,,
GL052588/17,31032021,GL052588/17310320210,0,GL052588/17310320210,,,,,
GL052588/17,31032022,GL052588/1731032022,,#N/A,,,,,
GL052588/17,31032022,GL052588/17310320220,0,GL052588/17310320220,,,,,
GL052624/17,31032021,GL052624/17310320210,0,GL052624/17310320210,,,,,
GL052624/17,31032022,GL052624/1731032022,,#N/A,,,,,
GL052624/17,31032022,GL052624/17310320220,0,GL052624/17310320220,,,,,
GL052646/17,31032021,GL052646/17310320210,0,GL052646/17310320210,,,,,
GL052788/17,31032021,GL052788/17310320210,0,GL052788/17310320210,,,,,
GL052788/17,31032022,GL052788/1731032022,,#N/A,,,,,
GL052788/17,31032022,GL052788/17310320220,0,GL052788/17310320220,,,,,
GL052795/17,31032021,GL052795/17310320210,0,GL052795/17310320210,,,,,
GL052795/17,31032022,GL052795/1731032022,,#N/A,,,,,
GL052795/17,31032022,GL052795/17310320220,0,GL052795/17310320220,,,,,
GL053075/17,31032021,GL053075/17310320210,0,GL053075/17310320210,,,,,
GL053075/17,31032022,GL053075/1731032022,,#N/A,,,,,
GL053075/17,31032022,GL053075/17310320220,0,GL053075/17310320220,,,,,
GL053180/17,31032021,GL053180/1731032021384,384,GL053180/1731032021384,,,,,
GL053180/17,31032022,GL053180/1731032022,,#N/A,,,,,
GL053180/17,31032022,GL053180/1731032022384,384,GL053180/1731032022384,,,,,
GL053203/17,31032021,GL053203/17310320210,0,GL053203/17310320210,,,,,
GL053203/17,31032022,GL053203/1731032022,,#N/A,,,,,
GL053203/17,31032022,GL053203/17310320220,0,GL053203/17310320220,,,,,
GL053277/17,31032021,GL053277/17310320210,0,GL053277/17310320210,,,,,
GL053277/17,31032022,GL053277/1731032022,,#N/A,,,,,
GL053277/17,31032022,GL053277/17310320220,0,GL053277/17310320220,,,,,
GL053532/17,31032021,GL053532/17310320210,0,GL053532/17310320210,,,,,
GL053532/17,31032022,GL053532/1731032022,,#N/A,,,,,
GL053532/17,31032022,GL053532/17310320220,0,GL053532/17310320220,,,,,
GL053587/17,31032021,GL053587/17310320210,0,GL053587/17310320210,,,,,
GL053703/17,31032021,GL053703/17310320210,0,GL053703/17310320210,,,,,
GL053703/17,31032022,GL053703/1731032022,,#N/A,,,,,
GL053703/17,31032022,GL053703/17310320220,0,GL053703/17310320220,,,,,
GL053755/17,31032021,GL053755/17310320210,0,GL053755/17310320210,,,,,
GL053755/17,31032022,GL053755/1731032022,,#N/A,,,,,
GL053755/17,31032022,GL053755/17310320220,0,GL053755/17310320220,,,,,
GL053953/17,31032021,GL053953/17310320210,0,GL053953/17310320210,,,,,
GL053953/17,31032022,GL053953/1731032022,,#N/A,,,,,
GL053953/17,31032022,GL053953/17310320220,0,GL053953/17310320220,,,,,
GL054174/17,31032021,GL054174/17310320210,0,GL054174/17310320210,,,,,
GL054174/17,31032022,GL054174/1731032022,,#N/A,,,,,
GL054174/17,31032022,GL054174/17310320220,0,GL054174/17310320220,,,,,
GL054179/17,31032021,GL054179/17310320210,0,GL054179/17310320210,,,,,
GL054179/17,31032022,GL054179/1731032022,,#N/A,,,,,
GL054179/17,31032022,GL054179/17310320220,0,GL054179/17310320220,,,,,
GL054232/17,31032021,GL054232/17310320210,0,GL054232/17310320210,,,,,
GL054232/17,31032022,GL054232/1731032022,,#N/A,,,,,
GL054232/17,31032022,GL054232/17310320220,0,GL054232/17310320220,,,,,
GL054563/17,31032021,GL054563/17310320210,0,GL054563/17310320210,,,,,
GL054645/17,31032021,GL054645/17310320210,0,GL054645/17310320210,,,,,
GL054645/17,31032022,GL054645/1731032022,,#N/A,,,,,
GL054645/17,31032022,GL054645/17310320220,0,GL054645/17310320220,,,,,
GL054649/17,31032021,GL054649/17310320210,0,GL054649/17310320210,,,,,
GL054649/17,31032022,GL054649/1731032022,,#N/A,,,,,
GL054649/17,31032022,GL054649/17310320220,0,GL054649/17310320220,,,,,
GL054851/17,31032021,GL054851/17310320210,0,GL054851/17310320210,,,,,
GL054879/17,31032021,GL054879/1731032021436,436,GL054879/1731032021436,,,,,
GL054879/17,31032022,GL054879/1731032022,,#N/A,,,,,
GL054879/17,31032022,GL054879/1731032022436,436,GL054879/1731032022436,,,,,
GL055080/17,31032021,GL055080/17310320210,0,GL055080/17310320210,,,,,
GL055080/17,31032022,GL055080/1731032022,,#N/A,,,,,
GL055080/17,31032022,GL055080/17310320220,0,GL055080/17310320220,,,,,
GL055163/17,31032021,GL055163/17310320210,0,GL055163/17310320210,,,,,
GL055163/17,31032022,GL055163/1731032022,,#N/A,,,,,
GL055163/17,31032022,GL055163/17310320220,0,GL055163/17310320220,,,,,
GL055231/17,31032021,GL055231/17310320210,0,GL055231/17310320210,,,,,
GL055231/17,31032022,GL055231/1731032022,,#N/A,,,,,
GL055231/17,31032022,GL055231/17310320220,0,GL055231/17310320220,,,,,
GL055276/17,31032021,GL055276/17310320210,0,GL055276/17310320210,,,,,
GL055276/17,31032022,GL055276/1731032022,,#N/A,,,,,
GL055276/17,31032022,GL055276/17310320220,0,GL055276/17310320220,,,,,
GL055307/17,31032021,GL055307/17310320210,0,GL055307/17310320210,,,,,
GL055307/17,31032022,GL055307/1731032022,,#N/A,,,,,
GL055307/17,31032022,GL055307/17310320220,0,GL055307/17310320220,,,,,
GL055389/17,31032021,GL055389/17310320210,0,GL055389/17310320210,,,,,
GL055389/17,31032022,GL055389/1731032022,,#N/A,,,,,
GL055389/17,31032022,GL055389/17310320220,0,GL055389/17310320220,,,,,
GL055492/17,31032021,GL055492/17310320210,0,GL055492/17310320210,,,,,
GL055492/17,31032022,GL055492/1731032022,,#N/A,,,,,
GL055492/17,31032022,GL055492/17310320220,0,GL055492/17310320220,,,,,
GL055539/17,31032021,GL055539/17310320210,0,GL055539/17310320210,,,,,
GL055539/17,31032022,GL055539/1731032022,,#N/A,,,,,
GL055539/17,31032022,GL055539/17310320220,0,GL055539/17310320220,,,,,
GL055542/17,31032021,GL055542/17310320210,0,GL055542/17310320210,,,,,
GL055542/17,31032022,GL055542/1731032022,,#N/A,,,,,
GL055542/17,31032022,GL055542/17310320220,0,GL055542/17310320220,,,,,
GL055755/17,31032021,GL055755/17310320210,0,GL055755/17310320210,,,,,
GL055778/17,31032021,GL055778/17310320210,0,GL055778/17310320210,,,,,
GL055778/17,31032022,GL055778/1731032022,,#N/A,,,,,
GL055778/17,31032022,GL055778/17310320220,0,GL055778/17310320220,,,,,
GL055787/17,31032021,GL055787/17310320210,0,GL055787/17310320210,,,,,
GL055787/17,31032022,GL055787/1731032022,,#N/A,,,,,
GL055787/17,31032022,GL055787/17310320220,0,GL055787/17310320220,,,,,
GL055847/17,31032021,GL055847/17310320210,0,GL055847/17310320210,,,,,
GL055902/17,31032021,GL055902/17310320210,0,GL055902/17310320210,,,,,
GL055902/17,31032022,GL055902/1731032022,,#N/A,,,,,
GL055902/17,31032022,GL055902/17310320220,0,GL055902/17310320220,,,,,
GL055995/17,31032021,GL055995/17310320210,0,GL055995/17310320210,,,,,
GL055995/17,31032022,GL055995/1731032022,,#N/A,,,,,
GL055995/17,31032022,GL055995/17310320220,0,GL055995/17310320220,,,,,
GL056041/17,31032021,GL056041/17310320210,0,GL056041/17310320210,,,,,
GL056041/17,31032022,GL056041/1731032022,,#N/A,,,,,
GL056041/17,31032022,GL056041/17310320220,0,GL056041/17310320220,,,,,
GL056090/17,31032021,GL056090/17310320210,0,GL056090/17310320210,,,,,
GL056090/17,31032022,GL056090/1731032022,,#N/A,,,,,
GL056090/17,31032022,GL056090/17310320220,0,GL056090/17310320220,,,,,
GL056196/17,31032021,GL056196/17310320210,0,GL056196/17310320210,,,,,
GL056196/17,31032022,GL056196/1731032022,,#N/A,,,,,
GL056196/17,31032022,GL056196/17310320220,0,GL056196/17310320220,,,,,
GL056283/17,31032021,GL056283/17310320210,0,GL056283/17310320210,,,,,
GL056412/17,31032021,GL056412/17310320210,0,GL056412/17310320210,,,,,
GL056412/17,31032022,GL056412/1731032022,,#N/A,,,,,
GL056412/17,31032022,GL056412/17310320220,0,GL056412/17310320220,,,,,
GL056518/17,31032021,GL056518/17310320210,0,GL056518/17310320210,,,,,
GL056518/17,31032022,GL056518/1731032022,,#N/A,,,,,
GL056518/17,31032022,GL056518/17310320220,0,GL056518/17310320220,,,,,
GL056703/17,31032021,GL056703/17310320210,0,GL056703/17310320210,,,,,
GL056703/17,31032022,GL056703/1731032022,,#N/A,,,,,
GL056703/17,31032022,GL056703/17310320220,0,GL056703/17310320220,,,,,
GL056921/17,31032021,GL056921/17310320210,0,GL056921/17310320210,,,,,
GL056921/17,31032022,GL056921/1731032022,,#N/A,,,,,
GL056921/17,31032022,GL056921/17310320220,0,GL056921/17310320220,,,,,
GL056929/17,31032021,GL056929/17310320210,0,GL056929/17310320210,,,,,
GL056929/17,31032022,GL056929/1731032022,,#N/A,,,,,
GL056929/17,31032022,GL056929/17310320220,0,GL056929/17310320220,,,,,
GL056931/17,31032021,GL056931/17310320210,0,GL056931/17310320210,,,,,
GL056931/17,31032022,GL056931/1731032022,,#N/A,,,,,
GL056931/17,31032022,GL056931/17310320220,0,GL056931/17310320220,,,,,
GL056935/17,31032021,GL056935/17310320210,0,GL056935/17310320210,,,,,
GL056967/17,31032021,GL056967/17310320210,0,GL056967/17310320210,,,,,
GL056967/17,31032022,GL056967/1731032022,,#N/A,,,,,
GL056967/17,31032022,GL056967/17310320220,0,GL056967/17310320220,,,,,
GL057034/17,31032021,GL057034/17310320210,0,GL057034/17310320210,,,,,
GL057034/17,31032022,GL057034/1731032022,,#N/A,,,,,
GL057034/17,31032022,GL057034/17310320220,0,GL057034/17310320220,,,,,
GL057068/17,31032021,GL057068/17310320210,0,GL057068/17310320210,,,,,
GL057068/17,31032022,GL057068/1731032022,,#N/A,,,,,
GL057068/17,31032022,GL057068/17310320220,0,GL057068/17310320220,,,,,
GL057093/17,31032021,GL057093/17310320210,0,GL057093/17310320210,,,,,
GL057093/17,31032022,GL057093/1731032022,,#N/A,,,,,
GL057093/17,31032022,GL057093/17310320220,0,GL057093/17310320220,,,,,
GL057375/17,31032021,GL057375/17310320210,0,GL057375/17310320210,,,,,
GL057375/17,31032022,GL057375/1731032022,,#N/A,,,,,
GL057375/17,31032022,GL057375/17310320220,0,GL057375/17310320220,,,,,
GL057471/17,31032021,GL057471/17310320210,0,GL057471/17310320210,,,,,
GL057471/17,31032022,GL057471/1731032022,,#N/A,,,,,
GL057471/17,31032022,GL057471/17310320220,0,GL057471/17310320220,,,,,
GL057604/17,31032021,GL057604/17310320210,0,GL057604/17310320210,,,,,
GL057604/17,31032022,GL057604/1731032022,,#N/A,,,,,
GL057604/17,31032022,GL057604/17310320220,0,GL057604/17310320220,,,,,
GL057628/17,31032021,GL057628/17310320210,0,GL057628/17310320210,,,,,
GL057628/17,31032022,GL057628/1731032022,,#N/A,,,,,
GL057628/17,31032022,GL057628/17310320220,0,GL057628/17310320220,,,,,
GL057721/17,31032021,GL057721/17310320210,0,GL057721/17310320210,,,,,
GL057738/17,31032021,GL057738/17310320210,0,GL057738/17310320210,,,,,
GL057738/17,31032022,GL057738/1731032022,,#N/A,,,,,
GL057738/17,31032022,GL057738/17310320220,0,GL057738/17310320220,,,,,
GL057787/17,31032021,GL057787/17310320210,0,GL057787/17310320210,,,,,
GL057789/17,31032021,GL057789/17310320210,0,GL057789/17310320210,,,,,
GL057789/17,31032022,GL057789/1731032022,,#N/A,,,,,
GL057789/17,31032022,GL057789/17310320220,0,GL057789/17310320220,,,,,
GL057799/17,31032021,GL057799/17310320210,0,GL057799/17310320210,,,,,
GL057799/17,31032022,GL057799/1731032022,,#N/A,,,,,
GL057799/17,31032022,GL057799/17310320220,0,GL057799/17310320220,,,,,
GL057808/17,31032021,GL057808/17310320210,0,GL057808/17310320210,,,,,
GL057808/17,31032022,GL057808/1731032022,,#N/A,,,,,
GL057808/17,31032022,GL057808/17310320220,0,GL057808/17310320220,,,,,
GL057855/17,31032021,GL057855/17310320210,0,GL057855/17310320210,,,,,
GL057855/17,31032022,GL057855/1731032022,,#N/A,,,,,
GL057855/17,31032022,GL057855/17310320220,0,GL057855/17310320220,,,,,
GL057891/17,31032021,GL057891/17310320210,0,GL057891/17310320210,,,,,
GL057891/17,31032022,GL057891/1731032022,,#N/A,,,,,
GL057891/17,31032022,GL057891/17310320220,0,GL057891/17310320220,,,,,
GL057930/17,31032021,GL057930/17310320210,0,GL057930/17310320210,,,,,
GL057930/17,31032022,GL057930/1731032022,,#N/A,,,,,
GL057930/17,31032022,GL057930/17310320220,0,GL057930/17310320220,,,,,
GL057942/17,31032021,GL057942/17310320210,0,GL057942/17310320210,,,,,
GL057942/17,31032022,GL057942/1731032022,,#N/A,,,,,
GL057942/17,31032022,GL057942/17310320220,0,GL057942/17310320220,,,,,
GL057969/17,31032021,GL057969/17310320210,0,GL057969/17310320210,,,,,
GL057969/17,31032022,GL057969/1731032022,,#N/A,,,,,
GL057969/17,31032022,GL057969/17310320220,0,GL057969/17310320220,,,,,
GL058003/17,31032021,GL058003/17310320210,0,GL058003/17310320210,,,,,
GL058003/17,31032022,GL058003/1731032022,,#N/A,,,,,
GL058003/17,31032022,GL058003/17310320220,0,GL058003/17310320220,,,,,
GL058005/17,31032021,GL058005/17310320210,0,GL058005/17310320210,,,,,
GL058005/17,31032022,GL058005/1731032022,,#N/A,,,,,
GL058005/17,31032022,GL058005/17310320220,0,GL058005/17310320220,,,,,
GL058007/17,31032021,GL058007/17310320210,0,GL058007/17310320210,,,,,
GL058007/17,31032022,GL058007/1731032022,,#N/A,,,,,
GL058007/17,31032022,GL058007/17310320220,0,GL058007/17310320220,,,,,
GL058056/17,31032021,GL058056/173103202158,58,GL058056/173103202158,,,,,
GL058056/17,31032022,GL058056/1731032022,,#N/A,,,,,
GL058056/17,31032022,GL058056/173103202258,58,GL058056/173103202258,,,,,
GL058101/17,31032021,GL058101/17310320210,0,GL058101/17310320210,,,,,
GL058101/17,31032022,GL058101/1731032022,,#N/A,,,,,
GL058101/17,31032022,GL058101/17310320220,0,GL058101/17310320220,,,,,
GL058105/17,31032021,GL058105/17310320210,0,GL058105/17310320210,,,,,
GL058209/18,31032021,GL058209/18310320211030,1030,GL058209/18310320211030,,,,,
GL058209/18,31032022,GL058209/1831032022,,#N/A,,,,,
GL058209/18,31032022,GL058209/18310320221030,1030,GL058209/18310320221030,,,,,
GL058379/18,31032021,GL058379/18310320210,0,GL058379/18310320210,,,,,
GL058379/18,31032022,GL058379/1831032022,,#N/A,,,,,
GL058379/18,31032022,GL058379/18310320220,0,GL058379/18310320220,,,,,
GL058421/18,31032021,GL058421/18310320210,0,GL058421/18310320210,,,,,
GL058421/18,31032022,GL058421/1831032022,,#N/A,,,,,
GL058421/18,31032022,GL058421/18310320220,0,GL058421/18310320220,,,,,
GL058512/18,31032021,GL058512/18310320210,0,GL058512/18310320210,,,,,
GL058512/18,31032022,GL058512/1831032022,,#N/A,,,,,
GL058512/18,31032022,GL058512/18310320220,0,GL058512/18310320220,,,,,
GL058828/18,31032021,GL058828/18310320210,0,GL058828/18310320210,,,,,
GL058828/18,31032022,GL058828/1831032022,,#N/A,,,,,
GL058828/18,31032022,GL058828/18310320220,0,GL058828/18310320220,,,,,
GL058834/18,31032021,GL058834/18310320210,0,GL058834/18310320210,,,,,
GL058850/18,31032021,GL058850/18310320210,0,GL058850/18310320210,,,,,
GL058939/18,31032021,GL058939/18310320210,0,GL058939/18310320210,,,,,
