GLNo,Find
GL070115/19,TRUE
GL075503/20,TRUE
GL071493/20,TRUE
GL074760/20,TRUE
GL072240/20,TRUE
GL074356/20,TRUE
GL075512/20,TRUE
GL074956/20,TRUE
GL073921/20,TRUE
GL073964/20,TRUE
GL075453/20,TRUE
GL075570/21,TRUE
GL070241/19,TRUE
GL072770/20,TRUE
GL069546/19,TRUE
GL075506/20,TRUE
GL074858/20,TRUE
GL064242/18,TRUE
GL072769/20,TRUE
GL075392/20,TRUE
GL068649/19,TRUE
GL073513/20,TRUE
GL074362/20,TRUE
GL075233/20,TRUE
GL074892/20,TRUE
GL075158/20,TRUE
GL075484/20,TRUE
GL075011/20,TRUE
GL075404/20,TRUE
GL075559/20,TRUE
GL075578/21,TRUE
GL073728/20,TRUE
GL074483/20,TRUE
GL075529/20,TRUE
GL074648/20,TRUE
GL074866/20,TRUE
GL075384/20,TRUE
GL072773/20,TRUE
GL075517/20,TRUE
GL064855/19,TRUE
GL073878/20,TRUE
GL069189/19,TRUE
GL069755/19,TRUE
GL074233/20,TRUE
GL074262/20,TRUE
GL073232/20,TRUE
GL075492/20,TRUE
GL075562/20,TRUE
GL065836/19,TRUE
GL073591/20,TRUE
GL075530/20,TRUE
GL061589/18,TRUE
GL075576/21,TRUE
GL072603/20,TRUE
GL073672/20,TRUE
GL075276/20,TRUE
GL066542/19,TRUE
GL075435/20,TRUE
GL075193/20,TRUE
GL074518/20,TRUE
GL073640/20,TRUE
GL075043/20,TRUE
GL074816/20,TRUE
GL075609/21,TRUE
GL070541/19,TRUE
GL074096/20,TRUE
GL075197/20,TRUE
GL074792/20,TRUE
GL075285/20,TRUE
GL075494/20,TRUE
GL074762/20,TRUE
GL075573/21,TRUE
GL075251/20,TRUE
GL071345/19,TRUE
GL074619/20,TRUE
GL073009/20,TRUE
GL072441/20,TRUE
GL075240/20,TRUE
GL072784/20,TRUE
GL075354/20,TRUE
GL067822/19,TRUE
GL071483/20,TRUE
GL073089/20,TRUE
GL075499/20,TRUE
GL075421/20,TRUE
GL074880/20,TRUE
GL075091/20,TRUE
GL075321/20,TRUE
GL068774/19,TRUE
GL071144/19,TRUE
GL071884/20,TRUE
GL075634/21,TRUE
GL074514/20,TRUE
GL074039/20,TRUE
GL073967/20,TRUE
GL075387/20,TRUE
GL074805/20,TRUE
GL070885/19,TRUE
GL074955/20,TRUE
GL075075/20,TRUE
GL075105/20,TRUE
GL060171/18,TRUE
GL075523/20,TRUE
GL075597/21,TRUE
GL075424/20,TRUE
GL074084/20,TRUE
GL075028/20,TRUE
GL075616/21,TRUE
GL073777/20,TRUE
GL075004/20,TRUE
GL074182/20,TRUE
GL075585/21,TRUE
GL075565/21,TRUE
GL071940/20,TRUE
GL075568/21,TRUE
GL074854/20,TRUE
GL074663/20,TRUE
GL074873/20,TRUE
GL075343/20,TRUE
GL075661/21,TRUE
GL074595/20,TRUE
GL075071/20,TRUE
GL075457/20,TRUE
GL075663/21,TRUE
GL074176/20,TRUE
GL074569/20,TRUE
GL075145/20,TRUE
GL070126/19,TRUE
GL068339/19,TRUE
GL075458/20,TRUE
GL067160/19,TRUE
GL066681/19,TRUE
GL075670/21,TRUE
GL073938/20,TRUE
GL075543/20,TRUE
GL075685/21,TRUE
GL071364/19,TRUE
GL070030/19,TRUE
GL069325/19,TRUE
GL059921/18,TRUE
GL074996/20,TRUE
GL075602/21,TRUE
GL075181/20,TRUE
GL075339/20,TRUE
GL074980/20,TRUE
GL074264/20,TRUE
GL075511/20,TRUE
GL075141/20,TRUE
GL075544/20,TRUE
GL074429/20,TRUE
GL075169/20,TRUE
GL074798/20,TRUE
GL075680/21,TRUE
GL073845/20,TRUE
GL075271/20,TRUE
GL075469/20,TRUE
GL075398/20,TRUE
GL075260/20,TRUE
GL075563/20,TRUE
GL072365/20,TRUE
GL074260/20,TRUE
GL074943/20,TRUE
GL075653/21,TRUE
GL075672/21,TRUE
GL066282/19,TRUE
GL072331/20,TRUE
GL075575/21,TRUE
GL069591/19,TRUE
GL075275/20,TRUE
GL074606/20,TRUE
GL073403/20,TRUE
GL075714/21,TRUE
GL067548/19,TRUE
GL075674/21,TRUE
GL075241/20,TRUE
GL075485/20,TRUE
GL075630/21,TRUE
GL062564/18,TRUE
GL063826/18,TRUE
GL075679/21,TRUE
GL075715/21,TRUE
GL075590/21,TRUE
GL074911/20,TRUE
GL062902/18,TRUE
GL066473/19,TRUE
GL070068/19,TRUE
GL073300/20,TRUE
GL075637/21,TRUE
GL075470/20,TRUE
GL069845/19,TRUE
GL075328/20,TRUE
GL072101/20,TRUE
GL075538/20,TRUE
GL075486/20,TRUE
GL075442/20,TRUE
GL075723/21,TRUE
GL075277/20,TRUE
GL075757/21,TRUE
GL075528/20,TRUE
GL067491/19,TRUE
GL074383/20,TRUE
GL075000/20,TRUE
GL070198/19,TRUE
GL072546/20,TRUE
GL074896/20,TRUE
GL075455/20,TRUE
GL075089/20,TRUE
GL075520/20,TRUE
GL075687/21,TRUE
GL075246/20,TRUE
GL074767/20,TRUE
GL072210/20,TRUE
GL075760/21,TRUE
GL072160/20,TRUE
GL067507/19,TRUE
GL075416/20,TRUE
GL075772/21,TRUE
GL072665/20,TRUE
GL070810/19,TRUE
GL075351/20,TRUE
GL075554/20,TRUE
GL075303/20,TRUE
GL075390/20,TRUE
GL075231/20,TRUE
GL075295/20,TRUE
GL072549/20,TRUE
GL075342/20,TRUE
GL071208/19,TRUE
GL075640/21,TRUE
GL074524/20,TRUE
GL074655/20,TRUE
GL067341/19,TRUE
GL072430/20,TRUE
GL069268/19,TRUE
GL075239/20,TRUE
GL075549/20,TRUE
GL073449/20,TRUE
GL075367/20,TRUE
GL073274/20,TRUE
GL075639/21,TRUE
GL075826/21,TRUE
GL074723/20,TRUE
GL072509/20,TRUE
GL075766/21,TRUE
GL075633/21,TRUE
GL073289/20,TRUE
GL073243/20,TRUE
GL065091/19,TRUE
GL065413/19,TRUE
GL071031/19,TRUE
GL075462/20,TRUE
GL074036/20,TRUE
GL075636/21,TRUE
GL072938/20,TRUE
GL075362/20,TRUE
GL073959/20,TRUE
GL074284/20,TRUE
GL075787/21,TRUE
GL071600/20,TRUE
GL074768/20,TRUE
GL074916/20,TRUE
GL075624/21,TRUE
GL073631/20,TRUE
GL075851/21,TRUE
GL074126/20,TRUE
GL073768/20,TRUE
GL074285/20,TRUE
GL075422/20,TRUE
GL075560/20,TRUE
GL075732/21,TRUE
GL072348/20,TRUE
GL073658/20,TRUE
GL075272/20,TRUE
GL075849/21,TRUE
GL073469/20,TRUE
GL075401/20,TRUE
GL073637/20,TRUE
GL075613/21,TRUE
GL074985/20,TRUE
GL075850/21,TRUE
GL073233/20,TRUE
GL075848/21,TRUE
GL065537/19,TRUE
GL071372/19,TRUE
GL075159/20,TRUE
GL074657/20,TRUE
GL075426/20,TRUE
GL073951/20,TRUE
GL074076/20,TRUE
GL075875/21,TRUE
GL073210/20,TRUE
GL075805/21,TRUE
GL075273/20,TRUE
GL073857/20,TRUE
GL074796/20,TRUE
GL074097/20,TRUE
GL073092/20,TRUE
GL072668/20,TRUE
GL074355/20,TRUE
GL075594/21,TRUE
GL075656/21,TRUE
GL075162/20,TRUE
GL075304/20,TRUE
GL074408/20,TRUE
GL075777/21,TRUE
GL074490/20,TRUE
GL073928/20,TRUE
GL075671/21,TRUE
GL068439/19,TRUE
GL069164/19,TRUE
GL074430/20,TRUE
GL071169/19,TRUE
GL071993/20,TRUE
GL075518/20,TRUE
GL075123/20,TRUE
GL073727/20,TRUE
GL075611/21,TRUE
GL075267/20,TRUE
GL075854/21,TRUE
GL062699/18,TRUE
GL058834/18,TRUE
GL075834/21,TRUE
GL075847/21,TRUE
GL075846/21,TRUE
GL075797/21,TRUE
GL075841/21,TRUE
GL074889/20,TRUE
GL074953/20,TRUE
GL074952/20,TRUE
GL073808/20,TRUE
GL075713/21,TRUE
GL073064/20,TRUE
GL075627/21,TRUE
GL075884/21,TRUE
GL069366/19,TRUE
GL067777/19,TRUE
GL073988/20,TRUE
GL075206/20,TRUE
GL075581/21,TRUE
GL075901/21,TRUE
GL075921/21,TRUE
GL074607/20,TRUE
GL075781/21,TRUE
GL075606/21,TRUE
GL074090/20,TRUE
GL067573/19,TRUE
GL060051/18,TRUE
GL070589/19,TRUE
GL073556/20,TRUE
GL075857/21,TRUE
GL075912/21,TRUE
GL074443/20,TRUE
GL075192/20,TRUE
GL075564/21,TRUE
GL073344/20,TRUE
GL075717/21,TRUE
GL075915/21,TRUE
GL075546/20,TRUE
GL075204/20,TRUE
GL071485/20,TRUE
GL075736/21,TRUE
GL075955/21,TRUE
GL075742/21,TRUE
GL068663/19,TRUE
GL075620/21,TRUE
GL075867/21,TRUE
GL075919/21,TRUE
GL074623/20,TRUE
GL075623/21,TRUE
GL074863/20,TRUE
GL074080/20,TRUE
GL075612/21,TRUE
GL075331/20,TRUE
GL071969/20,TRUE
GL067668/19,TRUE
GL074775/20,TRUE
GL075758/21,TRUE
GL075751/21,TRUE
GL075836/21,TRUE
GL074302/20,TRUE
GL073412/20,TRUE
GL075888/21,TRUE
GL073303/20,TRUE
GL075752/21,TRUE
GL075939/21,TRUE
GL068955/19,TRUE
GL068065/19,TRUE
GL073619/20,TRUE
GL075833/21,TRUE
GL074338/20,TRUE
GL075662/21,TRUE
GL075722/21,TRUE
GL075885/21,TRUE
GL065164/19,TRUE
GL073111/20,TRUE
GL074729/20,TRUE
GL075949/21,TRUE
GL074948/20,TRUE
GL075658/21,TRUE
GL075820/21,TRUE
GL075838/21,TRUE
GL075500/20,TRUE
GL075716/21,TRUE
GL075200/20,TRUE
GL074997/20,TRUE
GL075967/21,TRUE
GL072822/20,TRUE
GL075483/20,TRUE
GL075414/20,TRUE
GL075930/21,TRUE
GL075438/20,TRUE
GL076007/21,TRUE
GL074667/20,TRUE
GL075721/21,TRUE
GL076014/21,TRUE
GL073698/20,TRUE
GL075509/20,TRUE
GL071206/19,TRUE
GL075536/20,TRUE
GL075258/20,TRUE
GL074969/20,TRUE
GL075889/21,TRUE
GL065856/19,TRUE
GL075591/21,TRUE
GL073605/20,TRUE
GL070572/19,TRUE
GL068974/19,TRUE
GL075769/21,TRUE
GL075969/21,TRUE
GL075978/21,TRUE
GL075274/20,TRUE
GL075618/21,TRUE
GL072524/20,TRUE
GL075891/21,TRUE
GL075184/20,TRUE
GL076021/21,TRUE
GL076000/21,TRUE
GL074547/20,TRUE
GL073690/20,TRUE
GL075228/20,TRUE
GL075979/21,TRUE
GL076019/21,TRUE
GL075761/21,TRUE
GL073875/20,TRUE
GL075937/21,TRUE
GL075214/20,TRUE
GL072815/20,TRUE
GL075807/21,TRUE
GL075858/21,TRUE
GL067333/19,TRUE
GL072949/20,TRUE
GL075464/20,TRUE
GL076049/21,TRUE
GL075724/21,TRUE
GL075524/20,TRUE
GL075903/21,TRUE
GL075773/21,TRUE
GL076075/21,TRUE
GL073051/20,TRUE
GL075584/21,TRUE
GL075556/20,TRUE
GL075535/20,TRUE
GL072450/20,TRUE
GL075008/20,TRUE
GL074841/20,TRUE
GL074831/20,TRUE
GL075638/21,TRUE
GL073594/20,TRUE
GL069535/19,TRUE
GL075183/20,TRUE
GL067500/19,TRUE
GL072375/20,TRUE
GL075995/21,TRUE
GL075956/21,TRUE
GL074995/20,TRUE
GL075353/20,TRUE
GL074423/20,TRUE
GL076071/21,TRUE
GL075914/21,TRUE
GL075779/21,TRUE
GL075872/21,TRUE
GL074881/20,TRUE
GL076086/21,TRUE
GL074878/20,TRUE
GL073364/20,TRUE
GL071354/19,TRUE
GL075731/21,TRUE
GL075515/20,TRUE
GL075814/21,TRUE
GL074570/20,TRUE
GL075306/20,TRUE
GL074230/20,TRUE
GL074548/20,TRUE
GL075822/21,TRUE
GL075782/21,TRUE
GL075659/21,TRUE
GL075689/21,TRUE
GL074245/20,TRUE
GL075299/20,TRUE
GL075383/20,TRUE
GL075157/20,TRUE
GL075800/21,TRUE
GL075305/20,TRUE
GL074616/20,TRUE
GL075958/21,TRUE
GL075954/21,TRUE
GL073330/20,TRUE
GL075425/20,TRUE
GL073840/20,TRUE
GL074041/20,TRUE
GL076045/21,TRUE
GL075911/21,TRUE
GL076047/21,TRUE
GL076029/21,TRUE
GL075819/21,TRUE
GL075154/20,TRUE
GL070170/19,TRUE
GL068396/19,TRUE
GL074275/20,TRUE
GL074960/20,TRUE
GL072693/20,TRUE
