_id,Amount,Date,RecNo,TxnType,GLNo,PendingDays,PrincDue,Source[0]
6761056fcb78d87ad7a7a7db,6000,2021-09-22T00:00:00.000Z,R000116136,PrincPayment,GL077047/21,21,6000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7dc,63,2021-09-22T00:00:00.000Z,R000116136,IntPayment,GL077047/21,21,6000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7dd,110000,2021-09-22T00:00:00.000Z,R000116139,PrincPayment,GL077308/21,7,110000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7de,375,2021-09-22T00:00:00.000Z,R000116139,IntPayment,GL077308/21,7,110000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7df,12000,2021-09-22T00:00:00.000Z,R000116137,PrincPayment,GL075925/21,146,12000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7e0,855,2021-09-22T00:00:00.000Z,R000116137,IntPayment,GL075925/21,146,12000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7e1,4000,2021-09-22T00:00:00.000Z,R000116138,PrincPayment,GL076950/21,29,7000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7e2,67,2021-09-22T00:00:00.000Z,R000116138,IntPayment,GL076950/21,29,7000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7e3,16993,2021-09-22T00:00:00.000Z,R000116143,PrincPayment,GL075360/20,23,16993,Receipt_2022-03-31
6761056fcb78d87ad7a7a7e4,194,2021-09-22T00:00:00.000Z,R000116143,IntPayment,GL075360/20,23,16993,Receipt_2022-03-31
6761056fcb78d87ad7a7a7e5,17000,2021-09-22T00:00:00.000Z,R000116140,PrincPayment,GL076219/21,94,17000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7e6,782,2021-09-22T00:00:00.000Z,R000116140,IntPayment,GL076219/21,94,17000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7e7,427,2021-09-22T00:00:00.000Z,R000116141,PrincPayment,GL076529/21,23,9630,Receipt_2022-03-31
6761056fcb78d87ad7a7a7e8,73,2021-09-22T00:00:00.000Z,R000116141,IntPayment,GL076529/21,23,9630,Receipt_2022-03-31
6761056fcb78d87ad7a7a7e9,120,2021-09-22T00:00:00.000Z,R000116142,PrincPayment,GL076874/21,37,12000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7ea,180,2021-09-22T00:00:00.000Z,R000116142,IntPayment,GL076874/21,37,12000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7eb,70000,2021-09-22T00:00:00.000Z,R000116148,PrincPayment,GL077288/21,7,70000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7ec,243,2021-09-22T00:00:00.000Z,R000116148,IntPayment,GL077288/21,7,70000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7ed,69876,2021-09-22T00:00:00.000Z,R000116144,PrincPayment,GL075726/21,75,69876,Receipt_2022-03-31
6761056fcb78d87ad7a7a7ee,2545,2021-09-22T00:00:00.000Z,R000116144,IntPayment,GL075726/21,75,69876,Receipt_2022-03-31
6761056fcb78d87ad7a7a7ef,5447,2021-09-22T00:00:00.000Z,R000116145,PrincPayment,GL077181/21,10,16000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7f0,53,2021-09-22T00:00:00.000Z,R000116145,IntPayment,GL077181/21,10,16000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7f1,16000,2021-09-22T00:00:00.000Z,R000116146,PrincPayment,GL075318/20,190,16000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7f2,1500,2021-09-22T00:00:00.000Z,R000116146,IntPayment,GL075318/20,190,16000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7f3,23000,2021-09-22T00:00:00.000Z,R000116147,PrincPayment,GL075144/20,29,33000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7f4,315,2021-09-22T00:00:00.000Z,R000116147,IntPayment,GL075144/20,29,33000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7f5,8000,2021-09-22T00:00:00.000Z,R000116149,PrincPayment,GL072821/20,372,8000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7f6,1470,2021-09-22T00:00:00.000Z,R000116149,IntPayment,GL072821/20,372,8000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7f7,18500,2021-09-22T00:00:00.000Z,R000116150,PrincPayment,GL074216/20,266,18500,Receipt_2022-03-31
6761056fcb78d87ad7a7a7f8,2429,2021-09-22T00:00:00.000Z,R000116150,IntPayment,GL074216/20,266,18500,Receipt_2022-03-31
6761056fcb78d87ad7a7a7f9,25000,2021-09-22T00:00:00.000Z,R000116151,PrincPayment,GL074292/20,259,25000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7fa,3188,2021-09-22T00:00:00.000Z,R000116151,IntPayment,GL074292/20,259,25000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7fb,112,2021-09-22T00:00:00.000Z,R000116152,PrincPayment,GL077072/21,19,30000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7fc,188,2021-09-22T00:00:00.000Z,R000116152,IntPayment,GL077072/21,19,30000,Receipt_2022-03-31
6761056fcb78d87ad7a7a7fd,0,2021-09-22T00:00:00.000Z,R000116153,PrincPayment,GL076032/21,28,15500,Receipt_2022-03-31
6761056fcb78d87ad7a7a7fe,143,2021-09-22T00:00:00.000Z,R000116153,IntPayment,GL076032/21,28,15500,Receipt_2022-03-31
6761056fcb78d87ad7a7a7ff,0,2021-09-22T00:00:00.000Z,R000116154,PrincPayment,GL076284/21,28,5000,Receipt_2022-03-31
6761056fcb78d87ad7a7a800,47,2021-09-22T00:00:00.000Z,R000116154,IntPayment,GL076284/21,28,5000,Receipt_2022-03-31
6761056fcb78d87ad7a7a801,2190,2021-09-22T00:00:00.000Z,R000116155,PrincPayment,GL076654/21,28,13000,Receipt_2022-03-31
6761056fcb78d87ad7a7a802,120,2021-09-22T00:00:00.000Z,R000116155,IntPayment,GL076654/21,28,13000,Receipt_2022-03-31
6761056fcb78d87ad7a7a803,0,2021-09-22T00:00:00.000Z,R000116156,PrincPayment,GL076279/21,33,15000,Receipt_2022-03-31
6761056fcb78d87ad7a7a804,160,2021-09-22T00:00:00.000Z,R000116156,IntPayment,GL076279/21,33,15000,Receipt_2022-03-31
6761056fcb78d87ad7a7a805,0,2021-09-22T00:00:00.000Z,R000116157,PrincPayment,GL075279/20,33,15000,Receipt_2022-03-31
6761056fcb78d87ad7a7a806,160,2021-09-22T00:00:00.000Z,R000116157,IntPayment,GL075279/20,33,15000,Receipt_2022-03-31
67610573cb78d87ad7a7a807,0,2021-09-22T00:00:00.000Z,R000116158,PrincPayment,GL074384/20,33,25000,Receipt_2022-03-31
67610573cb78d87ad7a7a808,267,2021-09-22T00:00:00.000Z,R000116158,IntPayment,GL074384/20,33,25000,Receipt_2022-03-31
67610573cb78d87ad7a7a809,366,2021-09-22T00:00:00.000Z,R000116159,PrincPayment,GL074853/20,33,4323,Receipt_2022-03-31
67610573cb78d87ad7a7a80a,47,2021-09-22T00:00:00.000Z,R000116159,IntPayment,GL074853/20,33,4323,Receipt_2022-03-31
67610573cb78d87ad7a7a80b,2000,2021-09-22T00:00:00.000Z,R000116160,PrincPayment,GL076572/21,27,42000,Receipt_2022-03-31
67610573cb78d87ad7a7a80c,373,2021-09-22T00:00:00.000Z,R000116160,IntPayment,GL076572/21,27,42000,Receipt_2022-03-31
67610573cb78d87ad7a7a80d,20000,2021-09-22T00:00:00.000Z,R000116161,PrincPayment,GL074872/20,220,20000,Receipt_2022-03-31
67610573cb78d87ad7a7a80e,2250,2021-09-22T00:00:00.000Z,R000116161,IntPayment,GL074872/20,220,20000,Receipt_2022-03-31
67610573cb78d87ad7a7a80f,8000,2021-09-22T00:00:00.000Z,R000116162,PrincPayment,GL074773/20,227,8000,Receipt_2022-03-31
67610573cb78d87ad7a7a810,900,2021-09-22T00:00:00.000Z,R000116162,IntPayment,GL074773/20,227,8000,Receipt_2022-03-31
67610573cb78d87ad7a7a811,45000,2021-09-23T00:00:00.000Z,R000116171,PrincPayment,GL076266/21,28,45000,Receipt_2022-03-31
67610573cb78d87ad7a7a812,623,2021-09-23T00:00:00.000Z,R000116171,IntPayment,GL076266/21,28,45000,Receipt_2022-03-31
67610573cb78d87ad7a7a813,3500,2021-09-23T00:00:00.000Z,R000116163,PrincPayment,GL077165/21,2,3500,Receipt_2022-03-31
67610573cb78d87ad7a7a814,3,2021-09-23T00:00:00.000Z,R000116163,IntPayment,GL077165/21,2,3500,Receipt_2022-03-31
67610573cb78d87ad7a7a815,13000,2021-09-23T00:00:00.000Z,R000116164,PrincPayment,GL070451/19,601,13000,Receipt_2022-03-31
67610573cb78d87ad7a7a816,3900,2021-09-23T00:00:00.000Z,R000116164,IntPayment,GL070451/19,601,13000,Receipt_2022-03-31
67610573cb78d87ad7a7a817,0,2021-09-23T00:00:00.000Z,R000116165,PrincPayment,GL077090/21,18,100000,Receipt_2022-03-31
67610573cb78d87ad7a7a818,592,2021-09-23T00:00:00.000Z,R000116165,IntPayment,GL077090/21,18,100000,Receipt_2022-03-31
67610573cb78d87ad7a7a819,1611,2021-09-23T00:00:00.000Z,R000116166,PrincPayment,GL077195/21,11,82000,Receipt_2022-03-31
67610573cb78d87ad7a7a81a,297,2021-09-23T00:00:00.000Z,R000116166,IntPayment,GL077195/21,11,82000,Receipt_2022-03-31
67610573cb78d87ad7a7a81b,0,2021-09-23T00:00:00.000Z,R000116167,PrincPayment,GL076940/21,31,60000,Receipt_2022-03-31
67610573cb78d87ad7a7a81c,600,2021-09-23T00:00:00.000Z,R000116167,IntPayment,GL076940/21,31,60000,Receipt_2022-03-31
67610573cb78d87ad7a7a81d,0,2021-09-23T00:00:00.000Z,R000116168,PrincPayment,GL075035/20,29,22200,Receipt_2022-03-31
67610573cb78d87ad7a7a81e,212,2021-09-23T00:00:00.000Z,R000116168,IntPayment,GL075035/20,29,22200,Receipt_2022-03-31
67610573cb78d87ad7a7a81f,0,2021-09-23T00:00:00.000Z,R000116169,PrincPayment,GL075389/20,29,4700,Receipt_2022-03-31
67610573cb78d87ad7a7a820,45,2021-09-23T00:00:00.000Z,R000116169,IntPayment,GL075389/20,29,4700,Receipt_2022-03-31
67610573cb78d87ad7a7a821,12771,2021-09-23T00:00:00.000Z,R000116170,PrincPayment,GL061303/18,824,12771,Receipt_2022-03-31
67610573cb78d87ad7a7a822,5173,2021-09-23T00:00:00.000Z,R000116170,IntPayment,GL061303/18,824,12771,Receipt_2022-03-31
67610573cb78d87ad7a7a823,16495,2021-09-23T00:00:00.000Z,R000116172,PrincPayment,GL071137/19,29,16495,Receipt_2022-03-31
67610573cb78d87ad7a7a824,237,2021-09-23T00:00:00.000Z,R000116172,IntPayment,GL071137/19,29,16495,Receipt_2022-03-31
67610573cb78d87ad7a7a825,2500,2021-09-23T00:00:00.000Z,R000116173,PrincPayment,GL076976/21,22,2500,Receipt_2022-03-31
67610573cb78d87ad7a7a826,29,2021-09-23T00:00:00.000Z,R000116173,IntPayment,GL076976/21,22,2500,Receipt_2022-03-31
67610573cb78d87ad7a7a827,26000,2021-09-23T00:00:00.000Z,R000116176,PrincPayment,GL076742/21,19,26000,Receipt_2022-03-31
67610573cb78d87ad7a7a828,245,2021-09-23T00:00:00.000Z,R000116176,IntPayment,GL076742/21,19,26000,Receipt_2022-03-31
67610573cb78d87ad7a7a829,44,2021-09-23T00:00:00.000Z,R000116174,PrincPayment,GL076345/21,24,45000,Receipt_2022-03-31
67610573cb78d87ad7a7a82a,356,2021-09-23T00:00:00.000Z,R000116174,IntPayment,GL076345/21,24,45000,Receipt_2022-03-31
