2025-10-20 16:16:30 INFO     fed278c4-f614-4379-b8b8-68c592f3e769
2025-10-20 16:16:30 DEBUG    {"message": "Server heartbeat started", "topologyId": {"$oid": "68f61305ab474be7ad28dcb4"}, "driverConnectionId": 1, "serverHost": "ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net", "serverPort": 27017, "awaited": false}
2025-10-20 16:16:30 DEBUG    {"message": "Server heartbeat started", "topologyId": {"$oid": "68f61305ab474be7ad28dcb4"}, "driverConnectionId": 1, "serverHost": "ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net", "serverPort": 27017, "awaited": false}
2025-10-20 16:16:30 DEBUG    {"message": "Server heartbeat started", "topologyId": {"$oid": "68f61305ab474be7ad28dcb4"}, "driverConnectionId": 1, "serverHost": "ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net", "serverPort": 27017, "awaited": false}
2025-10-20 16:16:30 DEBUG    Converted retries value: 1 -> Retry(total=1, connect=None, read=None, redirect=None, status=None)
2025-10-20 16:16:30 DEBUG    Initializing with Entra authority: https://login.microsoftonline.com/f60dfc78-fca1-4c4c-9112-b231e45712f9
2025-10-20 16:16:30 DEBUG    Starting new HTTPS connection (1): login.microsoftonline.com:443
2025-10-20 16:16:30 DEBUG    {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "68f61305ab474be7ad28dcb4"}, "driverConnectionId": 1, "serverConnectionId": 210660, "serverHost": "ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net", "serverPort": 27017, "awaited": false, "durationMS": 29.621999943628907, "reply": "{\"helloOk\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"68e6c47f9abe50a311494773\"}, \"counter\": 3}, \"hosts\": [\"ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net:27017\", \"ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net:27017\", \"ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net:27017\"], \"setName\": \"atlas-7gefq1-shard-0\", \"setVersion\": 26, \"secondary\": true, \"primary\": \"ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net:27017\", \"tags\": {\"diskState\": \"READY\", \"region\": \"INDIA_CENTRAL\", \"availabilityZone\": \"3\", \"workloadType\": \"OPERATIONAL\", \"provider\": \"AZURE\", \"nodeType\": \"ELECTABLE\"}, \"me\": \"ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net:27017\", \"lastWrite\": {\"opTime\": {\"ts\": {\"$timestamp\": {\"t\": 1760957192, \"i\": 2}}, \"t\": 149}, \"lastWriteDate\": {\"$date\": \"2025-10-20T10:46:32Z\"}, \"majorityOpTime\": {\"ts\": {\"$timestamp\": {\"t\": 1760957192, \"i\": 2}}, \"t\": 149}, \"majorityWriteDate\": {\"$date\": \"2025-10-20T10:46:32Z\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTim..."}
2025-10-20 16:16:30 DEBUG    {"message": "Connection pool ready", "clientId": {"$oid": "68f61305ab474be7ad28dcb4"}, "serverHost": "ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net", "serverPort": 27017}
2025-10-20 16:16:30 DEBUG    {"message": "Topology description changed", "topologyId": {"$oid": "68f61305ab474be7ad28dcb4"}, "previousDescription": "<TopologyDescription id: 68f61305ab474be7ad28dcb4, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "newDescription": "<TopologyDescription id: 68f61305ab474be7ad28dcb4, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-wmh9kc4-shard-00-00.mmul4rn.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-wmh9kc4-shard-00-01.mmul4rn.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.029621999943628907>]>"}
2025-10-20 16:16:30 DEBUG    {"message": "Server heartbeat started", "topologyId": {"$oid": "68f61305ab474be7ad28dcb4"}, "driverConnectionId": 1, "serverConnectionId": 210660, "serverHost": "ac-wmh9kc4-shard-00-02.mmul4rn.mongodb.net", "serverPort": 27017, "awaited": true}
